bin,2010-12-28,2010-12-29,2010-12-30,2010-12-31,2011-01-01,2011-01-02,2011-01-03,2011-01-04,2011-01-05,2011-01-06,2011-01-07,2011-01-08,2011-01-09,2011-01-10,2011-01-11,2011-01-12,2011-01-13,2011-01-14,2011-01-15,2011-01-16,2011-01-17,2011-01-18,2011-01-19,2011-01-20,2011-01-21,2011-01-22,2011-01-23,2011-01-24,2011-01-25,2011-01-26,2011-01-27,2011-01-28,2011-01-29,2011-01-30
20,0.06111353247174232,0.061112656600323195,0.061112248793607736,0.06111214537751888,0.061111667702701475,0.06111135073550937,0.06111105976446699,0.061110834385010165,0.06111064698851318,0.0666705000566445,0.0666688253025684,0.06666877173060137,0.06666809268465208,0.06666770632551526,0.06666727697192036,0.06666699651564345,0.06666675651435218,0.06666658610951323,0.06666630170547569,0.0666660946605598,0.06666598075211107,0.07222873249741517,0.06667237178945826,0.07779011151547495,0.07778738040122432,0.07778580999598267,0.0777843955647693,0.07778251042370289,0.07778106506290433,0.07778018628245092,0.08334085995044091,0.0833383057316825,0.08333658682455349,0.0888941766467362
21,0.02777766493156937,0.011111111111111203,0.011111111111111186,0.01111111111111114,0.011111111111111129,0.011111111111111124,0.011111111111111129,0.011111111111111118,0.011111111111111118,0.01111111111111114,0.01111111111111113,0.016670828863814584,0.01666991283089655,0.016669526131422946,0.016668780144425802,0.01666847231237089,0.01666820800134035,0.022225693343195213,0.022226292330015062,0.02222555568109402,0.02222481997658105,0.022223959668922474,0.02222368515234689,0.022223508476348332,0.022223133028624123,0.011111175807781478,0.011110806639433759,0.011110685947385379,0.011110569417444455,0.011110388451820323,0.011110141071837174,0.01111007599022994,0.011110078042646538,0.011110262106482019
22,0.011111120843505535,0.011111123914806417,0.01111112203216624,0.011111120765848309,0.011111118250088928,0.011111117170094366,0.011111116241294586,0.011111114644183592,0.01111111429304456,0.011111115438547262,0.01111111382166033,0.01111111376887551,0.011111113314894124,0.011111113106331174,0.011111113946976534,0.011111113399505927,0.011111112981049474,0.011111112512327742,0.011111111800669368,0.011111111440516491,0.011111111394993082,0.011111111332511792,0.011111111307417893,0.011111111262423702,0.01111111121279409,0.01111111120510409,0.011111111126944021,0.011111111131975505,0.011111111128516189,0.011111111122786054,0.011111111129135053,0.011111111116158742,0.011111111116002968,0.011111111114523054
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.04999796280790739,0.04999817838249402,0.04999815264888834,0.03888581536907372,0.05000686490167857,0.050005872810656216,0.05000384005691059,0.05000281671817775,0.05000214839526695,0.050001737684003865,0.05000079359828446,0.05000049306458586,0.05000008851058561,0.049999779561806755,0.04999969610302727,0.049999480285000716,0.049999297260805195,0.04999928196435797,0.049998729150161556,0.049998515117728515,0.049998475364332044,0.049998707213207906,0.055557839362961256,0.055557494161953894,0.05555681890880785,0.0555563589475909,0.05555584107962808,0.05555546608381659,0.055555163575717825,0.05555483198295277,0.05555447337959205,0.05555422166668546,0.055554169962812976,0.055554378135292584
30,0.01666657006065274,0.016666553982682422,0.01666655341793233,0.01666653351595705,0.016666544752564672,0.016666539710661683,0.016666550590390558,0.01666656141855076,0.01666655642337471,0.016666527508652135,0.011110961665052602,0.01111092670460862,0.01111093750308747,0.011110930147351804,0.011110915657011835,0.011110920739199661,0.01111092424432012,0.011110949009579991,0.011110939939075217,0.011110966332301426,0.01111096829356008,0.011110988244663887,0.0111109807435086,0.011110970001090665,0.011110980752990128,0.011110972442867345,0.011111013307286257,0.011111005753356025,0.011111009046516448,0.011111007776925074,0.01111097191070068,0.011111007760959725,0.01111100868139641,0.011111029416577824
31,0.00555565462544934,0.0055556590306968506,0.005555644238721647,0.005555641472134037,0.005555620589279097,0.005555612036829743,0.0055556006516210765,0.0055555884513315565,0.005555584902827432,0.005555590860583105,0.005555577551041318,0.005555577818884775,0.005555573693466856,0.005555571848567969,0.005555574737777492,0.005555571293536058,0.005555568580800834,0.00555556531863325,0.005555561615289483,0.005555558914531844,0.005555558404861363,0.005555557715588056,0.005555557474519689,0.005555557118359465,0.005555556651973295,0.005555556557071229,0.00555555580259543,0.005555555843782454,0.005555555792349848,0.0055555557243913796,0.0055555557936744,0.005555555637629033,0.0055555556311940885,0.005555555607163616
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.049996714052547235,0.049997074482021744,0.04999702983138806,0.04999613282603999,0.04999637318525457,0.049996123055235375,0.04999667323987647,0.04999677985984771,0.04999666148193073,0.049996346200192325,0.049997297120731095,0.04999650331332582,0.04999676175255419,0.04999665155436134,0.049997084272369235,0.0499971062463697,0.049997122849600825,0.049997537362605475,0.049996656635492756,0.02777777775910736,0.02777777760104387,0.027777777463521874,0.027777777331476575,0.02222641669319866,0.02222562422448273,0.022225201168627414,0.02222490725014073,0.02222429010036047,0.022223831790376968,0.02222363212135948,0.022223678463314887,0.02222323848543192,0.022223008174911196,0.022222717212085772
40,0.049999792824449864,0.04999977269166075,0.04999977093393562,0.049999724675665214,0.04999974645734488,0.04999973432529518,0.04999976042895127,0.04999977956567223,0.04999976960251586,0.04999971765920986,0.04999979126194424,0.04999974044130824,0.049999756266551135,0.049999746234011704,0.049999733018560144,0.0499997394757656,0.049999743921959335,0.04999977809691732,0.049999757702303076,0.04999978791178868,0.049999791595199385,0.04999982266910175,0.04999981189564588,0.0499997939154789,0.049999807632190564,0.04999979604323762,0.049999838829279726,0.04999983335653692,0.04999983935301478,0.04999983406081094,0.04999978309388998,0.04999982736738334,0.04999983191518692,0.049999866919380374
41,0.00555565462544934,0.0055556590306968506,0.005555644238721647,0.005555641472134037,0.005555620589279097,0.005555612036829743,0.0055556006516210765,0.0055555884513315565,0.005555584902827432,0.005555590860583105,0.005555577551041318,0.005555577818884775,0.005555573693466856,0.005555571848567969,0.005555574737777492,0.005555571293536058,0.005555568580800834,0.00555556531863325,0.005555561615289483,0.005555558914531844,0.005555558404861363,0.005555557715588056,0.005555557474519689,0.005555557118359465,0.005555556651973295,0.005555556557071229,0.00555555580259543,0.005555555843782454,0.005555555792349848,0.0055555557243913796,0.0055555557936744,0.005555555637629033,0.0055555556311940885,0.005555555607163616
42,0.0388893510597539,0.0388892307914331,0.03888910271736612,0.03888900020246627,0.03333342277683624,0.03333332355622001,0.03333326333284924,0.03333319418279604,0.033333140678266746,0.033333091653931696,0.03333311889390878,0.038892764139785,0.038891841766083554,0.03889142110240271,0.038890686041011924,0.03889036235172379,0.03333475408567088,0.033334372027319176,0.03333445436679543,0.03333420755980047,0.0333340170201461,0.03333379108192041,0.033333716378832895,0.033333664036958116,0.027777995697302597,0.027777940726286084,0.02777785316093535,0.027777817522022564,0.027777783386632858,0.0277777538912458,0.027777722981059738,0.027777706493034574,0.02777769481315316,0.02777770236307825
43,0.005555555555630059,0.005555555555871992,0.005555555555819013,0.005555555555701867,0.005555555555651626,0.0055555555556280984,0.005555555555638335,0.005555555555598125,0.00555555555559579,0.0055555555556576555,0.005555555555621298,0.005555555555610415,0.005555555555605333,0.0055555555556024835,0.005555555555729924,0.005555555555685007,0.00555555555565482,0.005555555555630021,0.005555555555566776,0.005555555555558069,0.005555555555557907,0.00555555555555768,0.005555555555557425,0.005555555555556646,0.005555555555556146,0.005555555555556137,0.00555555555555557,0.0055555555555555905,0.005555555555555587,0.005555555555555571,0.005555555555555594,0.005555555555555559,0.00555555555555556,0.005555555555555559
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005559536246283747
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0111110981427367,0.011111092103980829,0.011111092142215288,0.011111090605259454,0.01111109269423204,0.011111092340185688,0.011111092990495603,0.011111095557213175,0.011111094669388219,0.011111087697439815,0.011111093813254223,0.01111109067376321,0.011111091569908771,0.011111090585047284,0.011111084044898792,0.011111085194888522,0.011111085965942999,0.011111089020491256,0.011111092630590054,0.011111097787726372,0.011111097750964517,0.011111099046652084,0.011111098292433667,0.005555555555555566,0.005555555555555561,0.005555555555555561,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556,0.005555555555555556
47,0.011111110154685386,0.011111109342848672,0.011111109296199453,0.011111109230525862,0.011111109408247322,0.01111110937799766,0.011111109325277077,0.011111109635574505,0.011111109521706327,0.011111108546119757,0.011111109201228622,0.011111108932044582,0.011111108984923313,0.011111108850198302,0.01111110749301554,0.011111107685172542,0.011111107809342715,0.011111108162027537,0.011111109136564799,0.01111110989278462,0.011111109868183833,0.011111109932102042,0.011111109855660273,0.011111109887791577,0.01111111007258125,0.011111109976154823,0.01111111073528027,0.011111110593850398,0.011111110594275064,0.011111110648824099,0.011111110359032119,0.011111110743089108,0.011111110707718927,0.01111111077537831
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.033332384101290455,0.033332390821368844,0.0333323813789374,0.03333214563249518,0.03333223097815977,0.0333321678772959,0.03333230780664455,0.03333236683105517,0.03333232745976645,0.03333216730660168,0.033332471378054715,0.033332240655674895,0.03333231452411238,0.033332276409116166,0.03333232252914303,0.033332338699988286,0.03333598475350293,0.03333525365025726,0.03333562800914333,0.0333352130103437,0.03333475697597903,0.033334249200080796,0.03333406859441689,0.03333394385803676,0.033333723596335296,0.033333581732409835,0.03333339672298608,0.022222112606048332,0.022222031911495545,0.02222192958515427,0.022221810649281887,0.022221751605847075,0.022221742687655532,0.022221821155180607
52,0.022221688378159844,0.02222166003549486,0.02222165538703215,0.02222152980120532,0.02222158272789834,0.022221549864175037,0.022221622275716973,0.022221664712044162,0.022221640625746886,0.022221527145691786,0.022221708449765384,0.02222157758153982,0.02222161893909738,0.02222159523093706,0.02222159505838649,0.022221607342180857,0.022221615960076033,0.02222169886329701,0.02222161779286861,0.022221678598620533,0.02222168933376426,0.02222177224249779,0.022221745023562715,0.02222169504441137,0.022221727162873864,0.022221698300459097,0.02222179475603367,0.02222178294075959,0.02222179918873741,0.022221783585328524,0.02222165240018513,0.022221763820184995,0.022221776616748627,0.022221869720770386
53,0.01111111271081045,0.01111111380975987,0.011111113401197992,0.011111112945501744,0.01111111243377233,0.01111111220619882,0.011111112098958709,0.011111111750552858,0.01111111169294498,0.011111112014458845,0.011111111680288934,0.011111111650430178,0.011111111566971055,0.011111111527421549,0.011111111837063384,0.011111111686711417,0.011111111575229171,0.011111111459089627,0.011111111244244378,0.01111111116525866,0.011111111158601817,0.011111111149340111,0.011111111144960833,0.011111111135706538,0.011111111126896937,0.011111111125908655,0.011111111112759324,0.011111111113592219,0.011111111113218055,0.011111111112435125,0.0111111111133715,0.011111111111616515,0.011111111111629747,0.011111111111482755
54,0.011111111101214401,0.011111111081457039,0.005555555555628167,0.00555555555559367,0.005555555555580224,0.005555555555573921,0.005555555555577285,0.005555555555566341,0.00555555555556581,0.005555555555583618,0.005555555555573686,0.005555555555570392,0.005555555555569165,0.005555555555568449,0.0055555555556093756,0.005555555555595109,0.005555555555585652,0.005555555555578135,0.005555555555558503,0.005555555555556159,0.005555555555556125,0.00555555555555608,0.0055555555555560155,0.005555555555555815,0.005555555555555693,0.005555555555555691,0.005555555555555558,0.005555555555555563,0.005555555555555562,0.005555555555555558,0.005555555555555564,0.005555555555555557,0.005555555555555557,0.005555555555555557
55,0.07222146565147988,0.0666658837026863,0.06666577806689412,0.06666542603849754,0.06666542084517392,0.06666526834485659,0.0666653997334458,0.06666540985446327,0.06666532480629687,0.0666651205244533,0.0666654973287555,0.06666514581772684,0.06666523258033112,0.05555373550518966,0.055553853161893,0.05555386194509793,0.05555386653873056,0.05555409480424231,0.055553711228673135,0.055553785016610506,0.05555382721281866,0.06111317945770514,0.06111273749238895,0.061112475560431354,0.06111197535305657,0.06111160532575431,0.06111136204594107,0.061111022377272506,0.06111078209417317,0.06111054783457986,0.061110220813390834,0.06111012526236268,0.06111006089353641,0.0611102097470697
56,0.005555613550955782,0.00555561944406155,0.005555610250875155,0.005555607436589669,0.005555594614930362,0.005555589298569077,0.005555582864674316,0.00555557521374717,0.005555573131692663,0.005555577307692736,0.005555569124402302,0.005555569189301062,0.005555566708482243,0.005555565592460784,0.005555567899448647,0.0055555656446844735,0.005555563881466292,0.0055555617964418,0.005555559226391742,0.005555557521531759,0.005555557229423675,0.005555556832989225,0.005555556690003156,0.005555556467813824,0.005555556189270535,0.0055555561360854985,0.011116171778839182,0.011114900198360455,0.01111404978885615,0.011113721637191518,0.011113751295017326,0.011113044085940138,0.011112588492247381,0.0111120366524693
57,0.005555555558200977,0.005555555563432804,0.005555555562162253,0.005555555559779642,0.005555555558430811,0.00555555555780495,0.005555555557900485,0.005555555556873026,0.005555555556782703,0.005555555558133394,0.0055555555572016375,0.005555555556997948,0.0055555555568291125,0.005555555556741609,0.005555555558849979,0.005555555558064017,0.0055555555575166,0.005555555557026368,0.005555555555872692,0.005555555555644923,0.005555555555637099,0.005555555555626035,0.005555555555617716,0.00555555555559501,0.005555555555578343,0.0055555555555775816,0.005555555555556512,0.005555555555557503,0.005555555555557275,0.005555555555556486,0.005555555555557547,0.005555555555555822,0.005555555555555866,0.005555555555555792
58,0.011111112189433767,0.011111112199347437,0.011111111603653396,0.011111111031761343,0.011111110585945166,0.011111110233987077,0.011111109969639543,0.01111110993849528,0.01111110969093076,0.011111108733704219,0.011111109200797244,0.01111110878152768,0.011111108742793706,0.011111108502280665,0.011111107048058032,0.011111107130053652,0.01111110716501349,0.011111107515690187,0.011111108515606804,0.011111109435860737,0.011111109393853,0.011111109483305404,0.011111109367955157,0.011111109387046781,0.011111109630428469,0.011111109492217778,0.011111110537973286,0.01111111033717309,0.011111110338917216,0.011111110412818637,0.011111109991477627,0.011111110544336632,0.011111110494560632,0.011111110599521981
59,0.005555555555599169,0.0055555555557509325,0.005555555555718043,0.005555555555643906,0.005555555555613255,0.005555555555598894,0.005555555555605685,0.005555555555580995,0.005555555555579653,0.005555555555618461,0.005555555555596112,0.00555555555558915,0.005555555555586163,0.005555555555584464,0.005555555555667763,0.005555555555638542,0.005555555555619007,0.005555555555603157,0.005555555555562352,0.005555555555557027,0.005555555555556937,0.005555555555556813,0.005555555555556661,0.005555555555556192,0.005555555555555897,0.005555555555555892,0.005555555555555564,0.005555555555555575,0.005555555555555573,0.0055555555555555644,0.005555555555555577,0.0055555555555555575,0.005555555555555558,0.0055555555555555575
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.02777570369759122,0.0277760080539333,0.027775968335250038,0.02777537039761679,0.02777550294710743,0.027775329193639984,0.027775692606339338,0.02777573478107631,0.027775659634071637,0.027775505435311723,0.027776094108639612,0.0277755812929971,0.027775746763429664,0.02777567844792479,0.02777600607749768,0.027776012906357242,0.033335115701875376,0.03333451359247032,0.033334499833361037,0.03333399906542081,0.03333358778761416,0.03333331300821303,0.03889212150549545,0.038891732828344135,0.0388908669585662,0.038890319525283636,0.03888959829531468,0.038889145681987404,0.03888875868105976,0.03888836577376128,0.03888802762244153,0.03888764080743384,0.038887562228961746,0.038887738082148966
63,0.03333195054426248,0.03333199658416632,0.033331982181438534,0.033331631811498126,0.033331750536447456,0.03333165568509606,0.03333186641200604,0.03333194198786859,0.033331886879245404,0.033331679100775155,0.03333211043372618,0.03333177617554123,0.03333188378246774,0.03333183073892971,0.03333192229369904,0.03889096371049744,0.038890508963595236,0.0388899721828108,0.03889010754745128,0.03888976336041391,0.03888940231164554,0.03888909627642074,0.038888910916162825,0.05556780184574009,0.05556527536650033,0.05556384632874411,0.05556282877834587,0.055560923706719674,0.055559514504736535,0.05555878871498875,0.0555586366368792,0.05555739532293642,0.055556734968357294,0.055556095442222946
64,0.0444430204508861,0.04444308454565307,0.04444302691693071,0.0444425886976604,0.04444267702808856,0.04444253619184526,0.04444276520279976,0.044442822905127036,0.044442745445756354,0.04444251229425862,0.044443004926871775,0.04444259322637848,0.04444271496556036,0.044442645373316624,0.044442780343169196,0.04444279497684001,0.04444280482640488,0.044443031700012216,0.055562311488311054,0.0555612771594273,0.055559950607944074,0.055558430499068875,0.055557934254230515,0.05555763966542395,0.055557007009688374,0.05555661147675063,0.05555613619729079,0.055555808669589056,0.05555553582721719,0.055555287635378994,0.05555504124873888,0.05555484806744574,0.05555476980750195,0.055554858161024775
