Name,AVERAGE SIX-YEAR GRADUATION RATE,AVERAGE FIRST-YEAR STUDENT RETENTION RATE,PELL GRANT GRADUATION RATES,PELL GRANT GRADUATION RATE PERFORMANCE,GRADUATION RATE PERFORMANCE,PEER ASSESSMENT SURVEY,CLASS SIZE INDEX,FACULTY COMPENSATION,PERCENT FACULTY WITH TERMINAL DEGREE IN THEIR FIELD,PERCENT FACULTY THAT IS FULL TIME,STUDENT-FACULTY RATIO,MATH AND EVIDENCE-BASED READING AND WRITING,HIGH SCHOOL CLASS STANDING IN TOP 10%,FINANCIAL RESOURCES PER STUDENT,AVERAGE ALUMNI GIVING RATE,GRADUATE INDEBTEDNESS TOTAL,GRADUATE INDEBTEDNESS PROPORTION WITH DEBT,DIVERSITY SCORE,TUITION AND FEES
Boise State University,48.25,79.5,27.500559409263808,43.72248728154574,27.84436658676009,31.25,49.807445442875476,23.542622649486326,44.84304932735428,69.80273141122913,47.183098591549296,32.55813953488371,11.11111111111111,1.9121169108395568,9.311740890688258,59.604455558081376,42.04545454545454,15.97623081067978,
Boston College,92.5,94.5,97.57216379503242,86.47446300178058,34.474911821595185,65.625,81.70731707317073,53.0097323311466,88.56502242152469,76.3277693474962,73.2394366197183,78.29457364341084,78.7878787878788,15.53608185278419,40.8906882591093,79.09914590978468,56.81818181818181,33.924384318558694,3.1771468385298647
Boston University,88.0,93.25,94.37234280599685,88.93208916537063,42.28329809725159,65.625,61.810012836970465,57.735211333250014,80.04484304932735,83.45978755690439,75.35211267605634,76.74418604651163,65.65656565656566,18.130739349358908,15.991902834008094,52.09625564251615,56.81818181818181,60.27792437951738,6.469256227138118
Bowling Green State University,57.0,77.5,35.89169836652494,42.50435930062679,44.62474645030426,31.25,40.82156611039795,24.577521855544042,52.914798206278036,81.7905918057663,44.36619718309859,31.7829457364341,18.181818181818183,2.4143966344660424,6.882591093117409,52.274867664728994,26.13636363636364,9.243891339619097,
Brandeis University,88.5,92.25,96.97918997538596,90.5132192846034,37.43315508021391,62.5,63.928112965340176,44.83240869579771,88.56502242152469,82.701062215478,75.35211267605634,78.29457364341084,58.58585858585859,17.503533519302625,32.79352226720647,58.63020816419316,55.68181818181817,50.24464301365187,5.467688556000681
Brigham Young University--Provo,80.5,90.25,44.03669724770641,31.785529141672214,21.075810003145648,46.875,55.19897304236202,43.82211174221619,84.08071748878926,79.81790591805765,36.61971830985915,61.24031007751938,58.58585858585859,7.117146569633019,18.218623481781375,81.92771084337349,81.81818181818181,7.949947666260314,100.0
Brown University,95.25,96.5,85.79100469903781,59.81294280283393,38.91227670952327,87.5,81.25802310654684,59.574460521679335,87.89237668161432,96.96509863429438,89.43661971830986,91.47286821705424,94.94949494949496,29.37567299460566,52.63157894736841,81.01516578443153,71.5909090909091,52.5848331860923,1.961330778609991
California Institute of Technology,91.75,97.0,60.058178563437004,28.849144634525658,30.266277082529342,90.625,79.01155327342748,81.29636837081495,95.51569506726456,96.66160849772382,100.0,100.0,95.95959595959596,86.96626646113484,49.79757085020241,73.31536388140162,100.0,73.36688004247844,8.448005573941813
California State University--Fresno,56.0,83.25,44.282837323786076,66.64803654743389,100.0,28.125,11.874197689345321,28.439443527956087,51.12107623318387,65.70561456752657,26.05633802816901,13.178294573643399,14.141414141414142,0.7905913546437144,5.06072874493927,68.24602994186989,15.909090909090907,80.32685454621316,
Campbell University,52.0,74.5,22.465876034907133,20.943494038361848,25.650321761986774,15.625,69.3196405648267,22.66384381781141,62.5560538116592,56.44916540212443,57.74647887323944,31.007751937984494,23.232323232323232,6.324960711622505,8.299595141700404,57.66245575293086,31.818181818181813,31.3003733224067,44.19090750740289
Carnegie Mellon University,90.25,96.5,89.93063325128662,70.22765626551075,37.43315508021391,81.25,76.6367137355584,55.09360680623808,84.52914798206275,96.20637329286797,89.43661971830986,93.02325581395348,88.8888888888889,22.171191086618958,28.13765182186234,58.8250576429708,63.63636363636363,73.43352155033014,8.02299251001567
Case Western Reserve University,84.0,93.25,82.91564108301631,77.99287496835328,29.708853238264993,62.5,71.30937098844672,43.08345169947847,86.09865470852019,85.12898330804248,71.83098591549296,80.62015503875969,69.6969696969697,21.442350584814612,30.364372469635622,58.854285064787454,59.090909090909086,51.73393732837342,16.565058352203437
Central Michigan University,61.25,77.0,42.604609532333846,48.441409155453385,46.7023172905526,21.875,38.12580231065469,29.765318802583735,62.780269058295985,76.02427921092564,47.183098591549296,30.23255813953486,17.171717171717173,3.0315093789499548,11.336032388663966,44.5068684441269,26.13636363636364,13.963238998749148,
Chatham University,64.5,80.0,49.31752069814275,74.45866730470152,44.50285507115021,18.75,87.16302952503209,15.205470774691506,81.16591928251121,48.71016691957511,75.35211267605634,37.209302325581376,28.282828282828284,8.004143662000939,26.518218623481776,56.106907414022665,17.045454545454547,12.24115581721611,39.458282529176095
Clark Atlanta University,42.75,69.25,17.431192660550458,40.70762052877137,48.1283422459893,21.875,48.138639281129656,18.669342517515958,79.8206278026906,75.26555386949923,43.66197183098592,7.751937984496124,9.090909090909092,4.388522834384578,20.040485829959508,33.95252167700451,0.0,100.0,68.10660163734542
Clarkson University,75.75,89.0,62.74334302976056,56.079718910200995,41.14081996434936,31.25,67.201540436457,32.57558922345307,69.28251121076234,79.51441578148709,64.7887323943662,52.71317829457362,36.36363636363637,7.364317668014274,23.481781376518214,45.11414931965057,15.909090909090907,9.571418149992894,15.955408465424128
Clemson University,83.5,93.25,72.85746251957931,59.18139945061165,40.783454674312225,53.125,36.52118100128371,36.082286560894914,70.4035874439462,87.25341426403642,53.521126760563384,60.46511627906975,52.525252525252526,8.566886559418563,39.271255060728734,64.44646510570584,53.4090909090909,8.469707830611938,
Colorado School of Mines,81.25,92.25,83.67643768180798,81.78910133260146,37.43315508021391,56.25,22.464698331193834,41.714326227842726,82.06278026905831,80.4248861911988,50.70422535211267,68.9922480620155,54.54545454545455,10.647020447042962,13.562753036437245,63.628097294839726,49.99999999999999,20.498888939308785,
Colorado State University,70.0,84.75,52.673976281047196,57.764332431453596,41.52249134948096,43.75,24.005134788189988,34.372160934378044,79.37219730941705,82.85280728376327,50.70422535211267,41.08527131782944,20.202020202020204,9.557180676144824,15.789473684210524,66.07995323612508,47.72727272727272,19.952608889457792,
Columbia University,95.75,98.0,75.27411053927051,42.459903908333445,43.413259732045304,93.75,99.10141206675225,100.0,99.10313901345289,94.99241274658573,89.43661971830986,94.5736434108527,95.95959595959596,65.798552383773,55.66801619433197,79.10888838372358,87.5,64.81424071676936,-1.4210854715202004e-14
Cornell University,94.5,96.75,95.01006936674867,73.38430965958179,38.91227670952327,90.625,70.47496790757381,58.41023038975093,86.09865470852019,92.86798179059178,79.92957746478874,86.82170542635657,83.83838383838385,40.509754105270716,40.28340080971659,84.81797811190856,64.77272727272727,60.43785125595479,4.3807699007141565
Creighton University,78.0,90.0,62.74334302976056,53.72302090050451,37.43315508021391,43.75,46.53401797175867,27.68771955584812,79.14798206278029,76.93474962063732,68.30985915492957,51.16279069767441,42.42424242424243,10.788962858039522,22.064777327935218,50.86545643490404,44.31818181818181,17.511748668108922,33.105730708935724
Dallas Baptist University,56.25,73.75,20.787648243454903,22.239502332814908,21.984551396316107,12.5,81.38639281129653,20.416931899158115,62.5560538116592,19.119878603945374,61.267605633802816,27.90697674418604,17.171717171717173,5.034220113240443,1.0121457489878543,80.15133309518396,18.181818181818173,33.53588498948491,52.098937467340185
Dartmouth College,95.25,96.75,85.35466547326021,61.23734686638838,35.9848484848485,84.375,76.6367137355584,61.55944707486723,89.46188340807173,88.46737481031866,86.97183098591549,91.47286821705424,92.92929292929294,41.330465961680396,82.99595141700402,76.02377163641087,70.45454545454545,44.140116962997354,4.633339139522718
Delaware State University,41.75,71.75,27.500559409263808,64.20082748906952,50.072921730675745,18.75,65.08344030808728,39.87269729113055,73.31838565022422,74.20333839150229,54.225352112676056,0.0,9.090909090909092,5.579935759687836,27.125506072874487,40.31760465040755,17.045454545454547,90.9299531741262,
Drake University,77.5,86.5,66.09979861266501,66.97639624387267,32.219251336898395,34.375,56.61103979460848,20.59721511191507,90.35874439461885,77.38998482549317,75.35211267605634,48.83720930232556,36.36363636363637,8.190227461025966,15.789473684210524,59.20826161790017,38.63636363636363,15.171053173251593,30.600940602682456
Drexel University,71.25,88.75,61.06511523830833,74.0088199578176,41.463225606448106,40.625,58.40821566110398,47.45102544686562,71.30044843049329,67.52655538694992,75.35211267605634,57.36434108527132,39.3939393939394,13.355841323860705,9.109311740890686,56.529081284707566,39.77272727272726,43.59243242767907,11.137432503048245
Duke University,95.25,97.0,86.59655403893487,60.99879039225851,35.9848484848485,87.5,91.07830551989731,73.64836592510517,89.46188340807173,97.11684370257967,91.19718309859155,94.5736434108527,94.94949494949496,50.927529064357806,59.91902834008095,91.29997077257818,73.86363636363636,,5.296986587702477
Duquesne University,78.5,85.25,74.49093756992613,84.79682577660802,45.05164456816351,31.25,45.76379974326059,24.759088749947352,84.97757847533633,62.82245827010622,64.7887323943662,44.18604651162789,16.161616161616163,6.00552658968624,9.109311740890686,45.487610820641045,45.454545454545446,8.249265782581872,34.844103814666425
